,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,4066000.0
avg_total_cores_t,0
no_cold_total_cores_t,3986000.0
wcores_t,68000.0
no_cold_wcores_t,8000.0
avg_wcores_t,0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,68000.0
avg_int_frag_core_t,0
cores_t_utilization,0.9832759468765372
no_cold_cores_t_util,0.9979929754139488
total_mem_t,133657198500.0
avg_total_mem_t,0
no_cold_total_mem_t,133017198500.0
wmem_t,114082461500.0
avg_wmem_t,0
wfail_alloc_mem_t,0
no_cold_wmem_t,113518247500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,114082461500.0
avg_int_frag_mem_t,0
mem_t_utilization,0.14645479046158516
no_cold_mem_t_util,0.14658969832385993
total_disk_t,4682000000.0
avg_total_disk_t,0
no_cold_total_disk_t,4042000000.0
wdisk_t,684000000.0
no_cold_wdisk_t,64000000.0
avg_wdisk_t,0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,684000000.0
avg_int_frag_disk_t,0
disk_t_utilization,0.8539085860743272
no_cold_disk_t_util,0.9841662543295399
num_retries,1
num_retries_bucket,0
num_retries_machine,0
total_run_time,999500.0
avg_run_time,0
