taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 41296 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 37662 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 43385 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 35432 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 31046 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 26018 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 32630 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 31437 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 40687 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 14560 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 33914 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 40119 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 27406 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 29210 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 24041 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 18648 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 44864 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 22628 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 36798 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 41794 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 43412 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 23618 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 29025 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 36547 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 29561 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 37774 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 40176 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 16383 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 36786 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 28402 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 38781 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 38556 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 36770 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 48751 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 58182 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 34379 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 53445 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 17959 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 28255 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 27000 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 33074 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 31610 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 23227 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 26074 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 44029 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 17794 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 28824 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 45841 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 35152 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 31137 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 46789 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 40126 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 30876 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 39977 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 23796 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 34762 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 33852 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 33246 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 16171 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 22264 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 21038 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 32807 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 44177 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 27650 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 22507 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 31414 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 42495 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 18591 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 750 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 36633 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 37697 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 38711 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 29639 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 25826 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 21948 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 8357 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 40895 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 36068 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 14532 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 14279 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 20301 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 47077 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 19184 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 36795 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 21031 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 32922 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 38743 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 36919 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 20707 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 30070 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 34696 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 22500 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 49082 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 43502 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 44018 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 49110 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 24006 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 20618 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 40099 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 22221 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 31788 -- 0 -- 4000 -- 500 -- 0 -- 1
