,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
total_cores_t,1592000.0,793000.0,594000.0,594000.0,1990000.0,482000.0,676000.0,676000.0,844000.0,1074000.0,482000.0,690000.0,690000.0,672000.0,892000.0
avg_total_cores_t,8000.0,3984.924623115578,2984.924623115578,2984.924623115578,10000.0,2422.110552763819,3396.9849246231156,3396.9849246231156,4241.206030150754,5396.984924623115,2422.110552763819,3467.3366834170856,3467.3366834170856,3376.884422110553,4482.412060301507
wcores_t,1194000.0,395000.0,196000.0,196000.0,1592000.0,84000.0,278000.0,278000.0,446000.0,676000.0,84000.0,292000.0,292000.0,274000.0,494000.0
avg_wcores_t,6000.0,1984.9246231155778,984.9246231155779,984.9246231155779,8000.0,422.1105527638191,1396.9849246231156,1396.9849246231156,2241.2060301507536,3396.9849246231156,422.1105527638191,1467.3366834170854,1467.3366834170854,1376.8844221105528,2482.4120603015076
wfail_alloc_core_t,0,297000.0,98000.0,98000.0,0,6000.0,200000.0,200000.0,368000.0,538000.0,6000.0,214000.0,214000.0,220000.0,416000.0
avg_wfail_alloc_core_t,0,1492.462311557789,492.46231155778895,492.46231155778895,0,30.150753768844222,1005.0251256281407,1005.0251256281407,1849.2462311557788,2703.5175879396984,30.150753768844222,1075.3768844221106,1075.3768844221106,1105.5276381909548,2090.452261306533
int_frag_core_t,1194000.0,98000.0,98000.0,98000.0,1592000.0,78000.0,78000.0,78000.0,78000.0,138000.0,78000.0,78000.0,78000.0,54000.0,78000.0
avg_int_frag_core_t,6000.0,492.46231155778895,492.46231155778895,492.46231155778895,8000.0,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,693.4673366834171,391.95979899497485,391.95979899497485,391.95979899497485,271.356783919598,391.95979899497485
cores_t_utilization,0.25,0.5018915510718789,0.67003367003367,0.67003367003367,0.19999999999999996,0.8257261410788381,0.5887573964497042,0.5887573964497042,0.47156398104265407,0.37057728119180633,0.8257261410788381,0.5768115942028986,0.5768115942028986,0.5922619047619048,0.44618834080717484
total_mem_t,12736000000.0,6344000000.0,4752000000.0,4752000000.0,16716000000.0,4571868500.0,5097632000.0,5097632000.0,5788752500.0,6949196000.0,4571868500.0,5115366500.0,5115366500.0,4953515000.0,5898128000.0
