,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,4146000.0
avg_total_cores_t,2074.0370185092547
no_cold_total_cores_t,4066000.0
wcores_t,148000.0
no_cold_wcores_t,88000.0
avg_wcores_t,74.03701850925462
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,148000.0
avg_int_frag_core_t,74.03701850925462
cores_t_utilization,0.9643029425952725
no_cold_cores_t_util,0.9783571077225774
total_mem_t,36614209000.0
avg_total_mem_t,18316262.631315656
no_cold_total_mem_t,35974209000.0
wmem_t,15308028500.0
avg_wmem_t,7657843.171585793
wfail_alloc_mem_t,0
no_cold_wmem_t,14783184000.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,15308028500.0
avg_int_frag_mem_t,7657843.171585793
mem_t_utilization,0.5819101677165823
no_cold_mem_t_util,0.5890615968790307
total_disk_t,5322000000.0
avg_total_disk_t,2662331.1655827914
no_cold_total_disk_t,4682000000.0
wdisk_t,1324000000.0
no_cold_wdisk_t,704000000.0
avg_wdisk_t,662331.1655827914
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,1324000000.0
avg_int_frag_disk_t,662331.1655827914
disk_t_utilization,0.7512213453588876
no_cold_disk_t_util,0.8496369073045706
num_retries,11
num_retries_bucket,0
num_retries_machine,0
total_run_time,999500.0
avg_run_time,500.0
